id,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month
3928248,14,2014-09-01,2015-10-14,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,2,0.97
6749902,8,2015-07-03,2015-10-31,83.0,7.0,8.0,9.0,8.0,9.0,9.0,1.0,moderate,1.0,1.0,2,1.86
6169536,1,2015-10-17,2015-10-17,100.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,strict,1.0,1.0,2,1.0
5839837,1,2015-10-13,2015-10-13,60.0,6.0,8.0,8.0,8.0,4.0,8.0,1.0,flexible,1.0,1.0,1,1.0
5625550,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6691572,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5682731,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6616920,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6194285,16,2015-05-04,2015-10-24,93.0,9.0,9.0,10.0,10.0,9.0,9.0,1.0,moderate,1.0,1.0,1,2.55
8098091,2,2015-09-27,2015-10-27,100.0,9.0,10.0,9.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,1.43
1865762,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8466296,1,2015-10-12,2015-10-12,80.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,1.0
8537281,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
4267135,2,2015-03-15,2015-04-27,80.0,10.0,8.0,8.0,10.0,10.0,8.0,1.0,strict,1.0,1.0,7,0.25
753947,6,2014-08-25,2015-08-24,87.0,9.0,9.0,9.0,8.0,9.0,7.0,1.0,strict,1.0,1.0,1,0.41
8029167,1,2015-09-10,2015-09-10,,,,,,,,0.0,strict,1.0,1.0,1,0.51
3802766,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6625221,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5606440,9,2015-03-24,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,2,1.18
4394031,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
6066627,1,2015-08-09,2015-08-09,80.0,8.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.33
8205083,0,,,,,,,,,,0.0,flexible,1.0,1.0,1,
8647145,0,,,,,,,,,,1.0,strict,1.0,1.0,6,
8538141,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
5391565,3,2015-03-19,2015-04-14,100.0,8.0,8.0,8.0,10.0,10.0,8.0,0.0,flexible,1.0,1.0,1,0.38
8538670,1,2015-10-26,2015-10-26,80.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,1.0
775002,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5530513,7,2015-03-23,2015-10-13,97.0,9.0,9.0,10.0,9.0,9.0,10.0,1.0,strict,1.0,1.0,1,0.91
8681039,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5562945,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4704597,4,2015-06-08,2015-09-08,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,0.78
3230604,15,2014-07-05,2015-11-03,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.91
951773,10,2015-06-23,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,2.17
8268970,0,,,,,,,,,,0.0,flexible,1.0,1.0,1,
7717113,2,2015-08-18,2015-09-09,90.0,9.0,9.0,9.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.72
8796080,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
1645518,54,2013-10-15,2015-10-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,1,2.15
2583106,19,2014-06-09,2015-10-25,97.0,9.0,10.0,10.0,10.0,10.0,9.0,1.0,moderate,1.0,1.0,1,1.1
8812681,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
8192070,2,2015-09-09,2015-10-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,1.0
7733669,4,2015-10-03,2015-10-20,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,3.33
3840726,38,2014-10-13,2015-10-06,96.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,moderate,1.0,1.0,1,2.92
642674,20,2013-11-18,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.83
1019294,1,2014-03-18,2014-03-18,91.0,8.0,10.0,10.0,10.0,8.0,8.0,1.0,moderate,1.0,1.0,1,0.05
8553138,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
234194,13,2014-04-28,2015-10-25,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,strict,1.0,1.0,1,0.7
592924,12,2012-11-04,2015-10-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,0.0,0.0,1,0.33
7024547,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
1782483,0,,,,,,,,,,1.0,flexible,1.0,1.0,2,
5372341,26,2015-03-08,2015-10-20,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,3.17
5105066,3,2015-04-26,2015-10-11,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.46
3129625,47,2014-08-10,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,3.09
1782433,0,,,,,,,,,,1.0,flexible,1.0,1.0,2,
4957175,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
5570703,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
4404358,2,2014-11-11,2015-03-19,80.0,9.0,9.0,10.0,9.0,9.0,9.0,1.0,moderate,1.0,1.0,1,0.17
8697893,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
3353855,1,2015-08-03,2015-08-03,80.0,8.0,8.0,10.0,10.0,8.0,8.0,1.0,flexible,1.0,1.0,1,0.31
8210932,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
3832994,1,2015-09-04,2015-09-04,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.46
4288403,56,2014-10-13,2015-11-07,96.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,flexible,1.0,1.0,1,4.29
1248702,90,2013-08-11,2015-10-25,96.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,3.3
6260941,11,2015-06-14,2015-10-30,96.0,9.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,2.24
4202378,8,2014-10-13,2015-04-25,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,moderate,1.0,1.0,1,0.61
2406050,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5174831,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6796522,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
2454577,2,2014-03-12,2014-05-19,99.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.1
461404,20,2012-11-28,2015-10-26,90.0,10.0,9.0,10.0,10.0,9.0,9.0,1.0,strict,1.0,1.0,1,0.56
5506252,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
951537,8,2014-08-26,2015-09-27,95.0,10.0,9.0,10.0,9.0,9.0,9.0,1.0,strict,1.0,1.0,2,0.55
8652103,0,,,,,,,,,,0.0,moderate,1.0,1.0,1,
330705,1,2012-03-17,2012-03-17,89.0,8.0,10.0,10.0,8.0,8.0,8.0,1.0,strict,0.0,0.0,1,0.02
329129,30,2012-03-14,2015-02-03,94.0,9.0,9.0,10.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,1,0.67
3689085,61,2014-10-27,2015-11-03,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,4.84
2077867,46,2014-01-04,2015-10-25,95.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,strict,1.0,1.0,1,2.05
5309636,5,2015-03-06,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,4,0.61
5447456,5,2015-05-24,2015-10-27,92.0,10.0,9.0,10.0,10.0,8.0,9.0,1.0,flexible,1.0,1.0,1,0.89
4156939,32,2014-11-07,2015-11-02,88.0,9.0,10.0,9.0,9.0,8.0,9.0,0.0,strict,1.0,1.0,4,2.62
3041605,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
7128645,1,2015-07-05,2015-07-05,100.0,4.0,6.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,3,0.24
2041310,50,2014-02-25,2015-10-21,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,moderate,1.0,1.0,2,2.42
4211596,1,2015-03-25,2015-03-25,100.0,10.0,8.0,10.0,10.0,8.0,10.0,1.0,strict,1.0,1.0,1,0.13
5551188,1,2015-03-24,2015-03-24,100.0,10.0,10.0,8.0,10.0,8.0,10.0,1.0,flexible,1.0,1.0,1,0.13
7287162,17,2015-07-24,2015-10-29,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,moderate,1.0,1.0,1,4.77
8001134,2,2015-10-04,2015-10-14,100.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,1.71
593102,2,2012-11-27,2013-03-12,99.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,strict,0.0,0.0,1,0.06
8032556,6,2015-09-21,2015-10-30,92.0,10.0,8.0,10.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,1,3.75
4264342,8,2014-10-31,2015-10-29,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,1,0.64
8098372,2,2015-09-12,2015-10-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,8,1.05
3281553,2,2015-08-17,2015-10-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,0.72
1643831,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
8612362,1,2015-10-19,2015-10-19,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,1.0
5040775,14,2015-02-02,2015-10-08,86.0,9.0,8.0,10.0,10.0,9.0,9.0,1.0,flexible,1.0,1.0,1,1.5
5237709,4,2015-03-17,2015-10-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.51
5205299,16,2015-03-20,2015-10-25,95.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,2.05
2036294,3,2014-02-17,2014-12-28,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,1,0.14
7728618,0,,,,,,,,,,1.0,flexible,1.0,1.0,3,
5673558,26,2015-05-24,2015-10-24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,4.62
4208511,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
3798024,3,2015-03-06,2015-09-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,2,0.36
1556027,2,2014-06-16,2015-03-20,90.0,10.0,9.0,10.0,10.0,8.0,9.0,1.0,strict,1.0,1.0,7,0.12
5340370,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8731536,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8888471,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
4235416,23,2014-10-14,2015-10-22,96.0,10.0,10.0,10.0,10.0,9.0,9.0,0.0,moderate,1.0,1.0,1,1.77
5415298,2,2015-03-19,2015-03-23,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.26
867806,2,2015-07-31,2015-09-08,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,0.59
3810677,2,2014-09-02,2014-10-21,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,7,0.14
5660770,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
767425,21,2013-03-01,2015-10-02,97.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,strict,1.0,1.0,1,0.64
4151271,4,2014-11-01,2015-10-17,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,0.32
5458052,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5457288,23,2015-03-12,2015-10-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,2.85
7980816,7,2015-09-08,2015-10-26,97.0,10.0,10.0,9.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,1,3.39
1068507,2,2013-06-15,2013-08-12,96.0,8.0,9.0,10.0,10.0,10.0,10.0,0.0,strict,0.0,0.0,1,0.07
3742420,15,2014-10-21,2015-10-10,95.0,10.0,10.0,10.0,9.0,9.0,10.0,1.0,strict,0.0,0.0,17,1.17
1956451,1,2015-03-16,2015-03-16,100.0,10.0,10.0,10.0,10.0,10.0,8.0,1.0,strict,1.0,1.0,1,0.13
4219174,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
1242559,5,2013-07-08,2015-03-21,100.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,2,0.18
4291414,5,2015-03-17,2015-10-12,80.0,9.0,10.0,10.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,2,0.63
6288166,2,2015-05-08,2015-08-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.32
1011620,1,2013-05-29,2013-05-29,80.0,6.0,6.0,10.0,8.0,10.0,6.0,0.0,strict,1.0,1.0,1,0.03
1535250,36,2013-09-09,2015-10-22,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,moderate,1.0,1.0,1,1.37
5992071,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8186030,1,2015-10-10,2015-10-10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,1.0
5565604,5,2015-03-29,2015-05-12,84.0,9.0,7.0,9.0,10.0,10.0,9.0,1.0,flexible,1.0,1.0,2,0.67
683017,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
8186176,2,2015-09-28,2015-10-13,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,1.43
2250253,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
971370,8,2014-03-09,2015-09-18,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.39
5459498,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
2474218,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4309531,13,2014-10-20,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,1,1.01
2722858,5,2014-11-30,2015-10-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.44
1850056,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
8301191,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6463905,1,2015-06-13,2015-06-13,100.0,10.0,10.0,10.0,10.0,8.0,10.0,1.0,flexible,1.0,1.0,3,0.2
5576522,7,2015-04-02,2015-10-05,96.0,10.0,8.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.95
627784,5,2014-03-19,2015-06-28,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,2,0.25
528160,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
362460,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5309717,5,2015-05-12,2015-09-21,100.0,9.0,10.0,9.0,9.0,9.0,10.0,1.0,strict,1.0,1.0,4,0.83
5641626,1,2015-03-17,2015-03-17,80.0,10.0,8.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,0.13
312499,1,2012-03-15,2012-03-15,,,,,,,,1.0,strict,1.0,1.0,1,0.02
5543526,21,2015-03-17,2015-09-18,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,2,2.67
5455707,69,2015-03-08,2015-11-05,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,8.41
5768100,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
8627429,0,,,,,,,,,,1.0,moderate,1.0,1.0,1,
5660966,32,2015-04-12,2015-11-05,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,4.57
5499091,32,2015-03-14,2015-11-05,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,4.0
8273490,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5685241,1,2015-10-26,2015-10-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,flexible,1.0,1.0,1,1.0
6628509,1,2015-07-05,2015-07-05,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,0.24
5525252,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5526151,10,2015-03-16,2015-10-27,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,flexible,1.0,1.0,1,1.26
5031020,26,2015-03-18,2015-09-26,96.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,2,3.31
320161,5,2012-03-09,2015-06-30,96.0,9.0,9.0,9.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,10,0.11
8935521,0,,,,,,,,,,0.0,strict,1.0,1.0,1,
8213678,4,2015-09-08,2015-10-25,95.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,1,1.94
5917038,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6336913,3,2015-05-26,2015-06-07,93.0,10.0,9.0,9.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,0.54
8630542,3,2015-10-05,2015-10-24,100.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,strict,1.0,1.0,1,2.65
74880,10,2012-03-15,2015-10-05,90.0,9.0,7.0,10.0,10.0,9.0,9.0,1.0,strict,1.0,1.0,2,0.23
74946,12,2011-03-17,2015-10-24,93.0,9.0,8.0,10.0,10.0,9.0,9.0,1.0,strict,1.0,1.0,2,0.21
5571370,24,2015-03-08,2015-08-23,94.0,9.0,9.0,9.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,2.94
7176906,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
966447,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5213588,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4855796,5,2015-09-21,2015-11-02,96.0,10.0,9.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,3.13
8061794,2,2015-09-28,2015-10-12,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,1.46
2520888,0,,,,,,,,,,1.0,flexible,1.0,1.0,2,
8497940,4,2015-10-14,2015-11-04,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,4.0
4816948,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
347802,119,2012-03-12,2015-10-18,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,1,2.67
5523426,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6807754,3,2015-06-21,2015-07-16,80.0,8.0,7.0,10.0,10.0,10.0,9.0,1.0,flexible,1.0,1.0,1,0.64
2304959,42,2014-03-13,2015-10-26,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,2.08
5477056,4,2015-05-02,2015-05-12,35.0,4.0,3.0,7.0,6.0,8.0,4.0,1.0,strict,1.0,1.0,1,0.63
967091,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
1928538,1,2015-03-23,2015-03-23,80.0,8.0,6.0,10.0,8.0,10.0,8.0,1.0,moderate,1.0,1.0,1,0.13
6287793,6,2015-07-07,2015-11-01,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,1.45
6586651,2,2015-10-05,2015-10-20,100.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,strict,1.0,1.0,1,1.76
3308591,3,2015-05-25,2015-10-06,100.0,10.0,10.0,10.0,8.0,10.0,10.0,1.0,strict,1.0,1.0,7,0.54
8826503,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
2532718,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
6404563,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
7843621,1,2015-08-31,2015-08-31,,,,,,,,1.0,moderate,1.0,1.0,1,0.43
5473833,1,2015-05-12,2015-05-12,100.0,8.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,0.17
981623,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4271028,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
8567050,0,,,,,,,,,,1.0,flexible,1.0,1.0,3,
945676,13,2013-03-14,2015-11-02,97.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,moderate,1.0,1.0,1,0.4
1721437,18,2014-01-18,2015-10-06,91.0,10.0,9.0,10.0,10.0,9.0,10.0,1.0,strict,0.0,0.0,1,0.82
5386336,15,2015-02-23,2015-10-28,92.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,moderate,1.0,1.0,1,1.74
7440637,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
8151698,6,2015-09-21,2015-10-24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,1,3.67
1709120,43,2013-10-15,2015-10-26,99.0,10.0,10.0,10.0,10.0,9.0,10.0,1.0,flexible,1.0,1.0,1,1.71
3130995,28,2014-07-07,2015-10-26,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,0.0,0.0,17,1.71
8549235,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
5590653,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4270825,49,2014-10-14,2015-10-29,96.0,10.0,9.0,10.0,10.0,10.0,10.0,0.0,flexible,1.0,1.0,1,3.77
5396207,1,2015-03-17,2015-03-17,100.0,10.0,8.0,10.0,10.0,8.0,8.0,1.0,moderate,1.0,1.0,1,0.13
8291582,1,2015-10-06,2015-10-06,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,1,0.91
8016745,1,2015-09-22,2015-09-22,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,strict,1.0,1.0,2,0.63
8577980,2,2015-10-04,2015-10-09,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,moderate,1.0,1.0,2,1.67
8221372,3,2015-09-21,2015-10-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,1.84
4435703,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
4376231,29,2014-11-08,2015-10-24,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,1,2.38
5265366,10,2015-05-10,2015-10-26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,flexible,1.0,1.0,1,1.64
5074095,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
8390149,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
3905528,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
9025225,0,,,,,,,,,,1.0,strict,1.0,1.0,2,
2227127,2,2014-03-17,2015-03-18,100.0,10.0,10.0,10.0,10.0,9.0,7.0,1.0,strict,1.0,1.0,1,0.1
367356,24,2012-03-27,2015-10-05,97.0,10.0,9.0,10.0,10.0,10.0,9.0,1.0,strict,0.0,0.0,17,0.55
1329922,12,2013-08-21,2015-05-12,95.0,10.0,10.0,9.0,10.0,10.0,9.0,1.0,strict,1.0,1.0,1,0.44
2419588,3,2014-09-01,2014-10-20,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,flexible,1.0,1.0,1,0.21
5355271,0,,,,,,,,,,1.0,strict,1.0,1.0,1,
4066631,3,2015-03-04,2015-03-20,100.0,10.0,10.0,10.0,10.0,9.0,9.0,1.0,moderate,1.0,1.0,1,0.36
5251173,0,,,,,,,,,,1.0,flexible,1.0,1.0,1,
